country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Jind,"Police Lines, Jind - HSPCB","11-02-2026 10:00:00",29.307814,76.337619,NH3,1,3,2
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","11-02-2026 10:00:00",29.8006,76.4155,OZONE,8,22,10
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","11-02-2026 10:00:00",29.695300,77.002700,NO2,6,7,6
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","11-02-2026 10:00:00",29.695300,77.002700,NH3,5,6,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","11-02-2026 10:00:00",29.966942,76.875879,NH3,5,5,5
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","11-02-2026 10:00:00",29.966942,76.875879,SO2,1,29,6
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","11-02-2026 10:00:00",27.9002,76.9938,NH3,13,14,13
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","11-02-2026 10:00:00",28.563262,77.186937,NH3,8,13,10
India,Delhi,Delhi,"Rohini, Delhi - DPCC","11-02-2026 10:00:00",28.732528,77.119920,PM2.5,88,454,340
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","11-02-2026 10:00:00",28.6514781,77.1473105,PM2.5,171,500,358
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.710508,77.249485,PM10,193,483,339
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.710508,77.249485,CO,68,146,108
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-02-2026 10:00:00",28.531346,77.190156,NO2,25,108,49
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","11-02-2026 10:00:00",28.531346,77.190156,CO,20,109,80
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","11-02-2026 10:00:00","21.217779 ","72.834787 ",PM10,91,193,134
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","11-02-2026 10:00:00","21.217779 ","72.834787 ",OZONE,8,9,8
India,Gujarat,Surat,"Science Center, Surat - SMC","11-02-2026 10:00:00",21.170046,72.795405,PM2.5,2,88,37
India,Gujarat,Surat,"Science Center, Surat - SMC","11-02-2026 10:00:00",21.170046,72.795405,NO2,22,37,29
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","11-02-2026 10:00:00",22.320153,73.216285,PM10,74,130,99
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","11-02-2026 10:00:00",22.320153,73.216285,NH3,2,3,2
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","11-02-2026 10:00:00",22.320153,73.216285,OZONE,1,4,1
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","11-02-2026 10:00:00",22.969611,72.643500,OZONE,29,45,30
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","11-02-2026 10:00:00",28.806223,76.141105,CO,9,12,11
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","11-02-2026 10:00:00",28.593883,76.270653,PM2.5,168,364,283
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","11-02-2026 10:00:00",28.593883,76.270653,NH3,5,8,6
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","11-02-2026 10:00:00",28.593883,76.270653,SO2,10,11,11
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","11-02-2026 10:00:00",28.593883,76.270653,CO,9,25,14
India,Haryana,"Charkhi Dadri","Mini Secretariat, Charkhi Dadri - HSPCB","11-02-2026 10:00:00",28.593883,76.270653,OZONE,14,17,15
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","11-02-2026 10:00:00",28.39072,77.30059,PM10,129,138,134
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","11-02-2026 10:00:00",28.39072,77.30059,SO2,8,8,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","11-02-2026 10:00:00",28.376058,77.315741,PM10,103,417,211
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","11-02-2026 10:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","11-02-2026 10:00:00",28.422681,77.148944,OZONE,6,60,9
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","11-02-2026 10:00:00",29.140560,75.744941,NO2,26,27,26
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","11-02-2026 10:00:00",23.023389,72.515201,NO2,4,28,15
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","11-02-2026 10:00:00",23.076793,72.627874,OZONE,1,53,3
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","11-02-2026 10:00:00",17.336318,76.847397,PM10,15,79,58
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","11-02-2026 10:00:00",17.336318,76.847397,NO2,11,21,16
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","11-02-2026 10:00:00",17.336318,76.847397,SO2,2,5,4
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","11-02-2026 10:00:00",12.889250,74.853000,NH3,NA,NA,NA
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","11-02-2026 10:00:00",12.889250,74.853000,OZONE,NA,NA,NA
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","11-02-2026 10:00:00",12.21041,76.37376,PM10,63,158,85
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","11-02-2026 10:00:00",12.21041,76.37376,SO2,2,20,7
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","11-02-2026 10:00:00",12.733409,77.298051,NO2,47,71,57
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","11-02-2026 10:00:00",12.733409,77.298051,NH3,3,5,3
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","11-02-2026 10:00:00",12.733409,77.298051,SO2,13,28,19
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","11-02-2026 10:00:00",12.733409,77.298051,OZONE,23,79,33
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","11-02-2026 10:00:00",12.9756843,77.5660749,NO2,32,38,35
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","11-02-2026 10:00:00",13.029152,77.585901,PM10,83,138,107
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","11-02-2026 10:00:00",13.029152,77.585901,SO2,11,16,14
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","11-02-2026 10:00:00",13.029152,77.585901,OZONE,7,18,8
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","11-02-2026 10:00:00",12.938539,77.590100,PM10,42,61,52
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","11-02-2026 10:00:00",12.938539,77.590100,NH3,3,6,5
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","11-02-2026 10:00:00",12.7816279,77.6299145,NO2,23,25,24
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","11-02-2026 10:00:00",12.7816279,77.6299145,NH3,4,4,4
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","11-02-2026 10:00:00",12.7816279,77.6299145,SO2,22,22,22
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","11-02-2026 10:00:00",13.003872,77.664217,NO2,28,39,31
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","11-02-2026 10:00:00",16.172806,75.659694,PM2.5,35,36,35
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","11-02-2026 10:00:00",16.172806,75.659694,PM10,45,46,46
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","11-02-2026 10:00:00",16.172806,75.659694,NH3,1,2,1
